epoch,reward,error
0,37.5,121.26479291204022
1,225.0,288.7978531776163
2,308.2,284.49808435207433
3,365.1,316.8983906554276
4,644.4,295.37271370253546
5,657.1,300.18825759846106
6,747.9,217.2265867705885
7,732.9,197.89540166461677
8,743.9,190.86903887220683
9,758.6,188.29880509445618
10,780.5,176.3597176228177
11,783.0,162.25597061433518
12,796.7,165.29401078079025
13,826.0,162.4561479292181
14,837.0,155.39305003763843
15,845.5,144.32168929166536
16,856.3,143.17161031433568
17,887.0,123.0341416030526
18,894.2,117.86755278701598
19,907.0,102.90092322229184
20,922.4,100.1151337211313
21,937.8,87.42288030029667
22,951.3,82.39241469941271
23,967.1,65.84671593936937
24,979.8,50.875927509972726
25,982.4,60.80328938470351
26,995.0,43.08363958627451
27,987.6,39.6716523477407
28,1004.3,22.246572769754884
29,1002.7,22.452394081700948
30,1007.8,6.63023378170031
31,1009.2,3.4871191548325386
32,1007.8,9.58957767578948
33,1010.0,0.0
34,1010.0,0.0
35,1010.0,0.0
36,1010.0,0.0
37,1010.0,0.0
38,1010.0,0.0
39,1010.0,0.0
40,1010.0,0.0
41,1010.0,0.0
42,1010.0,0.0
43,1010.0,0.0
44,1010.0,0.0
45,1010.0,0.0
46,1010.0,0.0
47,1010.0,0.0
48,1010.0,0.0
49,1010.0,0.0
50,1010.0,0.0
51,1010.0,0.0
52,1010.0,0.0
53,1010.0,0.0
54,1010.0,0.0
55,1010.0,0.0
56,1010.0,0.0
57,1010.0,0.0
58,1010.0,0.0
59,1010.0,0.0
60,1010.0,0.0
61,1010.0,0.0
62,1010.0,0.0
63,1010.0,0.0
64,1010.0,0.0
65,1010.0,0.0
66,1010.0,0.0
67,1010.0,0.0
68,1010.0,0.0
69,1010.0,0.0
70,1010.0,0.0
71,1010.0,0.0
72,1010.0,0.0
73,1010.0,0.0
74,1010.0,0.0
75,1010.0,0.0
76,1010.0,0.0
77,1010.0,0.0
78,1010.0,0.0
79,1010.0,0.0
80,1010.0,0.0
81,1010.0,0.0
82,1010.0,0.0
83,1010.0,0.0
84,1010.0,0.0
85,1010.0,0.0
86,1010.0,0.0
87,1010.0,0.0
88,1010.0,0.0
89,1010.0,0.0
90,1010.0,0.0
91,1010.0,0.0
92,1010.0,0.0
93,1010.0,0.0
94,1010.0,0.0
95,1010.0,0.0
96,1010.0,0.0
97,1010.0,0.0
98,1010.0,0.0
99,1010.0,0.0
