epoch,reward,error
0,227.45,286.8618962148859
1,343.5,364.54307015769757
2,327.8,361.7878660209599
3,358.25,375.51722663547673
4,345.8,391.91575625381535
5,381.95,340.48707391030274
6,340.95,345.2549022099469
7,414.8,367.3490982702967
8,401.8,372.86614220119264
9,439.35,355.60093855331706
10,415.95,364.6333055276218
11,418.25,377.346243521782
12,456.35,345.0642367733869
13,423.45,365.01006492972215
14,422.5,365.4164063092953
15,429.3,367.2041802594301
16,439.7,352.1257019872307
17,410.9,376.5934014291807
18,430.6,363.59708469678355
19,405.5,374.4686235187135
20,427.2,365.55185678642096
21,402.15,362.2424981969951
22,440.5,353.7269427114649
23,406.3,364.5058435745578
24,400.7,373.67219591508274
25,436.75,354.2709238704187
26,384.3,379.71951490541016
27,451.15,355.9271379088703
28,415.6,363.42955300855766
29,415.9,377.54442122748947
30,422.5,366.6769013723117
31,411.05,375.65455873714615
32,442.7,356.19392190210095
33,436.2,354.7956594999437
34,440.7,355.5419947066731
35,441.4,351.85514064739766
36,448.55,355.33751209237676
37,407.2,376.74893496863393
38,421.7,364.1918587777602
39,405.9,362.42266761338203
40,401.2,374.8895303952886
41,405.7,368.5643905751069
42,432.1,352.9212235046229
43,411.6,363.45541679826425
44,418.1,364.6694256446515
45,408.4,375.39611079498417
46,414.2,363.5012517172396
47,388.9,383.7668432785719
48,423.6,365.0307384317107
49,416.8,363.9694492673801
50,400.4,341.0792283326559
51,376.8,348.84632719866784
52,398.7,341.37678597116115
53,405.9,342.4736340216572
54,403.3,342.7251230942955
55,413.05,335.3770229160012
56,416.5,332.40690426042596
57,400.0,342.55510505610624
58,409.4,347.18185436453905
59,400.7,345.92153734626004
60,403.9,345.5085961304002
61,403.9,346.5328122992107
62,367.1,354.2301370578173
63,447.5,324.34850084438494
64,397.3,337.7320091433443
65,388.7,357.36439386150374
66,398.1,343.5505639640255
67,403.6,347.7905116589583
68,425.0,342.109631551057
69,401.3,347.10014405067596
70,413.3,352.6597652128749
71,440.3,353.2887063012347
72,441.8,355.8038223515875
73,413.5,357.6528344638135
74,445.1,334.8865330227539
75,415.3,366.4010234701863
76,415.8,379.1848625670598
77,413.4,378.81927089312654
78,398.6,365.60804148705483
79,417.2,367.096935427143
80,413.7,365.72135567942985
81,427.1,361.764826924896
82,432.2,372.34441045891907
83,425.8,371.17429867920544
84,421.0,383.33249275270157
85,436.9,375.49672435322253
86,406.9,341.94822707538634
87,402.7,367.2717114072359
88,421.3,323.1119155958195
89,422.0,326.07790480190465
90,416.7,326.8573236138361
91,404.0,333.39046177117905
92,396.7,352.34771178482197
93,421.0,326.985932419118
94,409.5,341.667601624737
95,382.3,346.47324572035865
96,389.8,379.4332088787169
97,432.0,363.8076414810442
98,429.8,363.7009210876431
99,438.0,369.6030302906079
