epoch,reward,error
0,-30.35,5.042568789813382
1,-36.8,5.259277516921883
2,-34.0,7.259476565152615
3,-35.65,6.8794985282359065
4,-34.05,5.526979283478454
5,-34.35,6.9373986479083065
6,-35.0,6.1400325732035
7,-36.35,7.336722701588224
8,-32.4,5.2573757712379665
9,-35.3,5.666568626602875
10,-37.95,6.576283144755858
11,-35.45,6.399023362982824
12,-36.4,5.721887800367987
13,-34.6,5.370288632839021
14,-33.35,4.552746423863293
15,-37.1,7.2794230540613585
16,-37.25,7.112489015808741
17,-35.75,6.832825184358224
18,-34.2,6.954135460285484
19,-37.95,5.342986056504359
20,-37.35,5.614935440412472
21,-38.65,6.762211176826705
22,-37.9,4.7843494855622755
23,-33.85,5.6592844070606665
24,-35.55,7.0531907673052485
25,-34.95,6.003957028493792
26,-34.35,5.237127075028827
27,-37.05,4.499722213648305
28,-34.15,5.082076347321044
29,-35.95,4.554942370656296
30,-34.3,5.550675634551166
31,-32.75,4.27638866334668
32,-35.1,5.223983154643591
33,-35.15,5.208406666150407
34,-34.65,4.315958757912314
35,-34.1,4.938623289946298
36,-34.35,4.04073013204297
37,-34.35,4.962610200287748
38,-33.05,3.734635189680513
39,-33.4,4.054626986542659
40,-35.5,4.727578661429125
41,-36.2,5.546169849544818
42,-35.5,5.563272418280449
43,-32.3,4.57274534606947
44,-34.75,3.1760824926314495
45,-32.45,3.3686050525402957
46,-34.75,5.165994579942956
47,-35.0,4.381780460041329
48,-32.9,4.264973622427224
49,-33.45,4.554942370656297
50,-33.5,4.224926034855522
51,-32.85,4.80910594601533
52,-32.2,4.202380277890139
53,-32.9,3.858756276314947
54,-32.6,4.2708313008125245
55,-31.4,3.9673668849754744
56,-32.95,3.747999466382032
57,-31.75,3.973348713616765
58,-33.2,4.044749683231337
59,-31.75,3.960744879438715
60,-31.5,4.006245124802026
61,-31.55,3.9556921012636965
62,-31.75,3.9099232729044697
63,-31.1,3.3000000000000003
64,-32.45,3.774586070021454
65,-31.4,3.7603191353926335
66,-31.4,3.32264954516723
67,-30.5,3.263433774416144
68,-30.95,3.5563323804166562
69,-31.2,3.0594117081556713
70,-31.2,3.57211421989835
71,-30.7,3.8091993909481823
72,-32.1,4.170131892398609
73,-30.1,2.791057147390573
74,-30.45,3.4274626183227737
75,-31.55,3.1220986531498327
76,-32.1,3.6455452267116364
77,-30.1,2.6814175355583845
78,-31.75,3.031088913245535
79,-30.7,3.7960505792204615
80,-30.65,3.2905166767545793
81,-30.95,3.7745860700214533
82,-30.7,3.1796226191169286
83,-32.2,3.736308338453881
84,-31.45,3.456515586540874
85,-30.6,3.1368774282716245
86,-30.55,3.1855140872392957
87,-30.8,3.171750305430741
88,-31.15,2.954234249344489
89,-31.9,3.6318039594669758
90,-30.55,3.470950878361721
91,-31.0,3.22490309931942
92,-31.35,3.2446109165815242
93,-31.3,3.2109188716004646
94,-32.1,3.8327535793473597
95,-31.45,3.2167530212933664
96,-31.1,3.6318039594669753
97,-32.0,3.420526275297414
98,-30.25,2.5074887836239665
99,-31.55,3.3537292675468007
