epoch,reward,error
0,97.8,74.80882300905421
1,89.2,71.91773077621401
2,76.2,48.98938660567205
3,86.6,66.80748461063327
4,86.6,96.87951279811432
5,83.2,72.10658777116
6,71.3,68.64189682693798
7,102.5,71.18110704393406
8,88.7,65.47449885260673
9,130.0,116.94443124834974
10,120.9,131.42674765815366
11,155.7,86.28852762679405
12,161.7,128.63323831731827
13,192.0,133.8745681599011
14,257.2,214.707615142081
15,225.0,162.5921277307115
16,157.4,124.58105795023575
17,181.7,167.37057686463294
18,308.9,233.92774525481153
19,280.7,233.88824254331382
20,287.0,234.72324128641372
21,317.5,239.13500371129277
22,400.5,248.97781025625557
23,435.6,228.8620545219325
24,392.6,236.18814534180163
25,380.7,307.9131533403534
26,451.9,309.5864822630342
27,509.1,266.8756077276453
28,649.3,251.66825385812965
29,552.4,311.20449868213666
30,648.6,259.9923845038543
31,675.0,287.3816278052583
32,628.6,288.2360837924357
33,700.7,280.01591026225634
34,743.4,238.46601435005365
35,713.5,296.47790811458447
36,747.1,229.26183720802732
37,758.0,232.93690132737663
38,762.2,235.31162317233714
39,798.4,217.22762255293412
40,769.7,244.9230695545032
41,784.5,229.04923051606178
42,772.0,226.2662148885688
43,756.6,240.48625740361965
44,768.3,233.74625130683916
45,793.4,222.39883093217915
46,781.8,216.72830917995
47,794.2,215.79703427063126
48,804.2,202.7973372606258
49,790.9,213.7928670465879
50,800.5,209.67486735419675
51,816.7,206.4134443295785
52,795.1,201.85289197829195
53,794.3,207.67404748788422
54,812.7,210.13450454411338
55,807.2,210.46652940550902
56,818.7,204.03261994102806
57,810.0,209.624426057652
58,820.2,189.8967087655813
59,813.6,202.32805045272391
60,801.4,218.1963336080604
61,825.0,189.68131167829898
62,807.3,207.23829279358583
63,813.5,197.18607963038363
64,809.5,204.82761044351417
65,819.5,196.21098338268428
66,818.2,199.0315552870951
67,823.8,194.25025096508887
68,817.1,203.37794865717376
69,817.1,202.62820632873402
70,825.1,193.22160852244244
71,819.0,198.241771582076
72,825.6,192.15889258631773
73,822.8,195.89629909725195
74,827.2,189.59050609141798
75,832.1,187.0823080892472
76,831.2,184.52251895093994
77,822.8,191.11190439111843
78,833.7,183.91114702486087
79,839.2,177.39041687757546
80,841.2,176.8393621341131
81,830.0,189.95367856401202
82,831.2,189.16490160703702
83,842.9,174.9359597109754
84,851.3,168.65263116832776
85,844.1,172.52996841128788
86,843.2,176.4804805070521
87,843.7,175.85479805794324
88,846.5,174.6480747102584
89,834.2,179.84760215248912
90,848.4,168.83317209600725
91,843.0,175.6228914464171
92,858.5,159.3133704370101
93,851.7,165.78452883185452
94,859.1,160.91298891015603
95,856.0,160.13868989098168
96,853.0,165.11874515027057
97,853.1,164.21629030032312
98,857.7,163.05983564323864
99,857.5,161.88128366182423
