epoch,reward,error
0,8.0,0.0
1,27.9,86.74208897645943
2,45.5,112.9032771889284
3,70.7,151.58664189169176
4,75.7,163.94544824422545
5,80.2,174.9615957860467
6,100.3,191.799139726955
7,141.9,219.53721780144707
8,175.5,222.19079638904938
9,271.3,227.7263928489625
10,339.0,225.206127802953
11,404.9,189.67601324363608
12,430.3,196.32450178212602
13,472.8,189.8561560761199
14,506.2,185.42804534373974
15,537.8,175.53449803386226
16,574.8,189.57468185388046
17,609.4,168.42814491645984
18,639.1,155.86593598345985
19,671.1,144.0548159555938
20,722.6,152.18291625540627
21,767.4,151.79341224177023
22,811.9,131.82788020748873
23,838.1,116.2195766641748
24,864.9,115.7626450976307
25,917.6,103.37814082290319
26,922.4,104.89918970135089
27,962.5,84.049687685321
28,986.6,59.0528576785239
29,982.2,61.96418320287938
30,988.4,48.30983336754537
31,987.1,61.09492613957397
32,992.5,52.50095237231416
33,1004.4,17.76063061943466
34,1002.8,30.035978425881183
35,1010.0,0.0
36,1010.0,0.0
37,1010.0,0.0
38,1010.0,0.0
39,1010.0,0.0
40,1010.0,0.0
41,1010.0,0.0
42,1010.0,0.0
43,1010.0,0.0
44,1010.0,0.0
45,1010.0,0.0
46,1010.0,0.0
47,1010.0,0.0
48,1010.0,0.0
49,1010.0,0.0
50,1010.0,0.0
51,1010.0,0.0
52,1010.0,0.0
53,1010.0,0.0
54,1010.0,0.0
55,1010.0,0.0
56,1010.0,0.0
57,1010.0,0.0
58,1010.0,0.0
59,1010.0,0.0
60,1010.0,0.0
61,1010.0,0.0
62,1010.0,0.0
63,1010.0,0.0
64,1010.0,0.0
65,1010.0,0.0
66,1010.0,0.0
67,1010.0,0.0
68,1010.0,0.0
69,1010.0,0.0
70,1010.0,0.0
71,1010.0,0.0
72,1010.0,0.0
73,1010.0,0.0
74,1010.0,0.0
75,1010.0,0.0
76,1010.0,0.0
77,1010.0,0.0
78,1010.0,0.0
79,1010.0,0.0
80,1010.0,0.0
81,1010.0,0.0
82,1010.0,0.0
83,1010.0,0.0
84,1010.0,0.0
85,1010.0,0.0
86,1010.0,0.0
87,1010.0,0.0
88,1010.0,0.0
89,1010.0,0.0
90,1010.0,0.0
91,1010.0,0.0
92,1010.0,0.0
93,1010.0,0.0
94,1010.0,0.0
95,1010.0,0.0
96,1010.0,0.0
97,1010.0,0.0
98,1010.0,0.0
99,1010.0,0.0
