epoch,reward,error
0,-471.49,301.4344869121648
1,-311.62,221.1401718367787
2,-236.96,96.36959271471473
3,-203.58,33.616121132575664
4,-195.45,32.780596394818694
5,-196.08,54.44018368815448
6,-187.01,30.946565237518683
7,-179.06,29.15366872282114
8,-178.17,29.098128805818426
9,-173.74,27.195815854649407
10,-174.44,28.060406269332603
11,-165.19,28.34949558634157
12,-167.18,30.842950572213407
13,-165.83,35.886781689084344
14,-174.93,95.76077015145609
15,-167.34,86.27041439566635
16,-184.39,145.1423366905742
17,-166.01,88.6179998645873
18,-177.87,120.42696168217485
19,-177.81,120.4944558890574
20,-173.81,120.24830102749893
21,-158.46,34.87303256099188
22,-154.86,21.49326406109597
23,-156.31,26.65809257992777
24,-161.21,45.311653026567015
25,-155.71,27.120212019820205
26,-153.95,19.698413641712374
27,-154.52,20.887546528972713
28,-153.09,23.632221647572617
29,-155.02,20.857123483356954
30,-151.68,18.964113477829642
31,-153.3,23.917566765873154
32,-151.5,20.35755388056237
33,-155.17,17.34707756367048
34,-154.68,18.89808455902344
35,-157.66,19.489084124196292
36,-153.32,17.76337805711515
37,-157.3,20.92343184088117
38,-156.0,18.420640596895645
39,-155.15,18.719174661293167
40,-157.91,18.654809031453524
41,-155.17,18.706178123817807
42,-157.35,19.16370266936951
43,-156.06,18.417828319321472
44,-154.13,19.507770246750397
45,-158.56,20.88890614656497
46,-156.27,17.760548978001776
47,-159.2,16.69970059611848
48,-159.06,15.888876612271874
49,-157.08,17.81554377502971
50,-156.35,16.918850433761744
51,-156.14,18.039412407282008
52,-158.28,17.06052754166764
53,-158.24,17.44426553340667
54,-161.94,15.841603454196168
55,-157.98,16.445047886825993
56,-161.49,17.918423479759596
57,-160.93,16.20324350245962
58,-158.88,19.133886170874955
59,-164.5,14.165097952361643
60,-161.03,20.30884290155399
61,-171.0,84.7417252597562
62,-164.94,11.513314032023967
63,-161.33,16.28990791870844
64,-163.43,13.514625411013068
65,-162.92,15.101443639599497
66,-163.62,15.015178986612181
67,-162.92,15.623495127531488
68,-164.39,14.9819191027051
69,-165.01,15.655347329267402
70,-164.39,16.828484780276565
71,-164.9,15.21019395011122
72,-163.73,15.227511287140782
73,-164.05,18.302663740559737
74,-165.45,14.888502275245823
75,-164.99,14.680255447368754
76,-166.22,13.287272105289334
77,-166.38,15.196565401431993
78,-168.17,12.425823916344545
79,-165.72,16.25797035302993
80,-167.53,14.460605104904843
81,-164.12,17.108056581622584
82,-166.21,17.56148911681467
83,-167.28,16.406145190141405
84,-166.89,15.464730841498666
85,-167.47,15.329354193833478
86,-167.99,15.490316329888165
87,-166.48,15.64639255547425
88,-168.08,15.44777006561141
89,-165.78,19.04183814656557
90,-166.3,18.326210737629314
91,-168.43,15.605290769479433
92,-167.15,18.590521778583838
93,-164.68,19.11014390317352
94,-168.85,17.43638437291401
95,-167.38,16.172062329832887
96,-164.69,20.18796423614823
97,-168.01,16.966139808453782
98,-168.16,21.288363018325306
99,-166.58,18.83570014626481
