epoch,reward,error
0,-1000.0,0.0
1,-959.25,156.76672956976554
2,-862.75,279.7666661702212
3,-697.73,357.2045311862657
4,-663.85,364.95935047618656
5,-598.03,368.12860402310486
6,-584.61,373.4575449766679
7,-502.44,355.94663420237595
8,-526.41,374.56121248735826
9,-458.21,337.8117314422341
10,-426.87,326.35669611638116
11,-445.49,350.46276535460936
12,-424.33,344.5374015981429
13,-402.55,322.72921699158263
14,-338.9,294.94584248637915
15,-330.33,275.3272618176413
16,-340.31,288.3834147450231
17,-390.71,329.0507649284529
18,-361.83,309.7574229941876
19,-365.82,327.013589320077
20,-349.48,330.7247036433778
21,-303.09,306.3045900733452
22,-361.44,343.1385819169859
23,-357.82,345.94899566265553
24,-327.79,316.92653076067955
25,-308.05,300.9527662275262
26,-320.06,323.36313395314556
27,-350.87,337.71664616953666
28,-370.32,344.6513275761462
29,-378.23,355.051963943308
30,-379.76,360.5219860147228
31,-410.95,374.78248024687593
32,-389.69,356.511898679413
33,-359.4,338.3316124750982
34,-414.09,368.7383651045821
35,-384.52,344.9768537163037
36,-357.77,337.95315814473463
37,-368.73,352.2473521547039
38,-385.77,361.3266349163871
39,-369.4,349.50962790744404
40,-347.0,332.0356908526552
41,-321.22,324.6349820952757
42,-320.05,319.78884830462744
43,-338.34,339.15242060171124
44,-295.94,309.98441315653275
45,-324.85,329.98558680645436
46,-282.8,295.08246305058526
47,-305.55,305.56718982901293
48,-298.2,299.0579876880068
49,-298.64,303.06746839606524
50,-320.66,323.16761038198115
51,-298.93,308.4544457452348
52,-308.64,312.262726562105
53,-303.16,317.4942745940469
54,-290.55,304.1892955052824
55,-287.69,305.21309588548127
56,-308.83,318.2608067293238
57,-310.04,311.60083183457647
58,-307.15,321.20779489296336
59,-302.59,308.5498693890503
60,-285.57,299.3048364126447
61,-290.18,304.9475489325992
62,-278.28,295.2177528537198
63,-306.2,317.6212839215911
64,-270.89,285.89896449620096
65,-272.73,290.20278616856865
66,-289.05,311.1748825017855
67,-262.26,275.69742907760315
68,-294.41,312.6918961214057
69,-291.37,310.0969092074283
70,-276.2,280.6954577473601
71,-271.16,293.099188671685
72,-272.14,294.4872160213411
73,-291.25,304.1014098947915
74,-272.11,293.5063166270873
75,-277.55,304.17897281041644
76,-268.99,288.9660358934939
77,-263.42,282.54168471218543
78,-255.41,277.2061721895816
79,-263.23,281.71257888138393
80,-268.07,291.5925326547304
81,-290.2,310.93333690680373
82,-267.37,296.1375577328887
83,-257.93,276.2805912473766
84,-274.83,294.53105286200304
85,-257.72,277.4564138743237
86,-275.81,292.27455226208116
87,-256.19,276.9265496480971
88,-259.03,286.8934455507829
89,-277.69,296.2375970399436
90,-243.87,266.82239992174567
91,-247.24,267.10043504270084
92,-240.38,257.74350738670415
93,-244.68,267.019133396841
94,-252.58,277.27312094755956
95,-237.05,255.51236271460533
96,-237.64,256.9595501241392
97,-250.78,277.2615941669528
98,-243.51,266.82737846780265
99,-251.55,277.0783418096767
