epoch,reward,error
0,-980.83,111.61183225805406
1,-966.75,126.53018414591833
2,-940.18,157.4555416617654
3,-879.69,233.12059947589367
4,-813.31,267.73717317548585
5,-808.75,269.30883294091933
6,-798.8,288.0701303502328
7,-808.94,278.4476187723646
8,-819.41,280.7558403666791
9,-789.73,289.71444061351195
10,-793.49,289.46099892731655
11,-747.33,304.1568692303365
12,-761.76,295.7336342048365
13,-705.23,309.1182251178342
14,-736.42,313.8497468534905
15,-724.82,323.4137715064095
16,-715.3,323.2778526283542
17,-714.94,323.22663318482904
18,-612.14,331.6213810959721
19,-723.56,328.4971025747411
20,-524.41,389.44504349137605
21,-431.61,361.93018373714
22,-408.69,344.7410534009548
23,-367.46,333.2802250359298
24,-353.43,314.27119673937665
25,-369.7,330.00710598409836
26,-332.98,303.9624970288275
27,-329.09,300.13560585175486
28,-304.9,276.2172876559322
29,-308.73,276.8149148799609
30,-360.34,327.97595094762664
31,-331.34,302.7782429435774
32,-248.92,216.6875483270786
33,-301.45,288.1766255267766
34,-312.12,290.75853487043156
35,-276.89,259.3649897345438
36,-308.73,292.8690101393454
37,-280.2,270.58728721061533
38,-313.77,294.46568068282585
39,-274.65,259.98370622021685
40,-283.08,270.4942764644014
41,-255.61,244.98558712707978
42,-237.25,214.6843904432737
43,-273.75,266.01787064030117
44,-271.71,256.623899705386
45,-249.38,252.58470975100605
46,-229.77,215.63074247425854
47,-257.24,263.7172394819876
48,-192.04,148.87504290511555
49,-222.7,203.69499257468263
50,-222.09,207.25602982784358
51,-229.92,221.77888447731
52,-262.86,267.6333320048158
53,-205.23,184.86177836426873
54,-201.99,172.23277823921902
55,-194.5,129.28453117059289
56,-192.92,129.40298914630986
57,-211.77,201.6450274616263
58,-191.42,149.10071629606608
59,-189.88,167.3703247293259
60,-209.51,201.74749044288012
61,-189.89,148.1553843098522
62,-216.26,203.80380860033017
63,-201.45,171.2829457359956
64,-213.95,205.1433827838471
65,-200.81,170.93207393581818
66,-208.91,186.48196132602212
67,-198.15,169.55066351978692
68,-180.43,123.93355114737896
69,-181.43,121.7744024826236
70,-178.29,105.0686723053071
71,-189.0,149.36070433685026
72,-179.01,122.52114062479176
73,-192.9,167.17933484734286
74,-200.05,185.3719706428132
75,-170.57,90.44912990184041
76,-180.61,120.49306162597081
77,-176.13,121.08085356488036
78,-188.42,147.5874777885983
79,-175.09,122.83485620946522
80,-192.08,172.88057612120565
81,-164.15,88.86825923804297
82,-183.66,147.2546243756032
83,-172.43,123.92209286483184
84,-165.48,91.45638085994875
85,-171.31,120.66496550366224
86,-171.14,120.8228471771792
87,-187.03,169.93501434371905
88,-159.41,50.02621212924281
89,-183.45,148.06926588593598
90,-182.6,147.1293308623403
91,-160.27,79.25084920680662
92,-155.14,27.925622643013707
93,-206.51,196.5843582282172
94,-177.69,130.15196464133763
95,-183.01,142.37742061155623
96,-182.12,146.4338266931517
97,-186.49,150.28789006436946
98,-194.66,174.56415554173773
99,-172.57,121.99920122689329
