epoch,reward,error
0,-993.07,68.9526293914889
1,-964.68,135.26927810851961
2,-869.21,280.0657171093956
3,-824.47,313.2121471143798
4,-759.39,356.2091210230306
5,-687.35,380.8529736000499
6,-674.2,378.54320757345533
7,-609.29,392.76230203521294
8,-413.23,369.6755565357277
9,-529.22,399.4103048244999
10,-435.01,370.6712153647757
11,-402.33,363.3279800675966
12,-373.09,348.4320908010627
13,-331.04,320.18900418346664
14,-396.69,357.9877566342178
15,-307.23,303.17413659479604
16,-258.29,265.70093319369437
17,-310.23,307.7060888250344
18,-322.57,314.53407621432694
19,-337.95,328.5655604289651
20,-357.06,338.05936815890783
21,-281.15,274.5649422267889
22,-295.73,282.52723249272805
23,-291.05,278.46074678489254
24,-334.62,316.10595628681216
25,-360.53,337.77857998990993
26,-327.87,317.277249578346
27,-365.81,329.50470998151155
28,-318.11,292.36835995025183
29,-351.54,319.600200876032
30,-343.12,321.54002177023006
31,-372.69,333.6760912921391
32,-380.44,338.03199020211076
33,-382.36,345.90679438253306
34,-322.68,288.89347102348984
35,-401.75,353.1171583200114
36,-419.28,363.36557569478146
37,-312.59,278.04744541174983
38,-365.31,336.52523516075297
39,-410.03,352.1812730682879
40,-436.48,358.75692272066334
41,-413.89,352.00394585856566
42,-410.84,339.8365407074407
43,-395.98,340.40904747083323
44,-458.34,363.8826519635144
45,-481.15,364.59608815784077
46,-465.55,361.7529370993413
47,-398.0,338.3996453898851
48,-369.07,336.1314997140256
49,-439.74,359.25942214505665
50,-352.42,323.5355677510589
51,-434.4,362.14439109283467
52,-468.31,376.5536003014712
53,-388.21,345.55813678742976
54,-449.06,365.24873223599286
55,-410.82,351.1032150237306
56,-421.97,344.8110048997856
57,-428.9,361.0728873787121
58,-458.77,371.04705510217985
59,-420.67,355.2429888118835
60,-376.26,331.95522649899647
61,-447.29,371.23648244750956
62,-411.71,350.367358496764
63,-448.02,366.3276942847755
64,-422.85,356.18122844978797
65,-377.47,334.05402123009975
66,-374.41,329.017692381428
67,-395.69,344.9176914859543
68,-399.99,339.18660041340075
69,-378.15,335.9255981612594
70,-361.91,325.60709743493
71,-355.11,319.6088514105952
72,-363.25,320.6186948697783
73,-411.75,357.2888572289934
74,-388.5,338.1846684874996
75,-323.74,304.0160397084338
76,-379.79,340.74175837428555
77,-383.69,335.60749976721314
78,-381.44,344.4867579457881
79,-322.0,281.9363048633503
80,-313.97,277.21686294307557
81,-344.1,303.5215148881541
82,-338.06,294.6752388647543
83,-335.74,301.6337719818522
84,-351.34,315.92544120409184
85,-304.63,282.96935010703896
86,-342.16,310.9133551329051
87,-327.45,290.6254419351479
88,-254.36,218.19580747576248
89,-311.8,280.3958273583971
90,-275.16,237.3340986879045
91,-360.07,331.180804244449
92,-299.95,274.4030384306996
93,-279.44,243.76174105055944
94,-304.72,282.28135184599074
95,-345.48,305.7806560265055
96,-265.42,231.80173338437308
97,-267.35,229.72398111646942
98,-262.0,243.22989125516625
99,-278.11,242.56351312594398
